原文,译文
【ティア】,【缇娅】
「わたしなんかを家に置く意味、それ以外にありませんし」,「会把我留在这里，除此之外没有就任何意义了」
【カイム】,【凯伊姆】
「なるほど。だから言い出せなかったのか」,「原来如此，所以才没有说出口吗」
【ティア】,【缇娅】
「はい、お手間を取らせてすみませんでした」,「是的，很抱歉浪费了您的时间」
【カイム】,【凯伊姆】
「いや、当然の判断だ」,「不，这是理所当然的判断」
【カイム】,【凯伊姆】
「なかなかよく考えたじゃないか」,「你不是也很动了一番脑筋吗」
【ティア】,【缇娅】
「嘘をついてごめんなさい」,「对不起，我骗了您」
【カイム】,【凯伊姆】
「別に構わない」,「不是什么大不了的事」
俺がこいつを責められるわけがない。,我没有资格去责备这家伙。
口を割らせるために、散々優しいふりをしてきたのだ。,我也是因为让她说出情报，才刻意装作对她温柔的样子。
【カイム】,【凯伊姆】
「むしろ、お前の方が正常だ」,「倒不如说，你的做法才是正常的」
【ティア】,【缇娅】
「嘘をつくのが、ですか？」,「你是指，说谎这件事吗？」
【カイム】,【凯伊姆】
「ああ。生きるために嘘をついて何が悪い」,「啊啊，只要是为了生存，不管说什么谎都是没有错的」
【ティア】,【缇娅】
「わたしには、よくわかりません」,「我不是很明白这种事情」
【カイム】,【凯伊姆】
「正直なんだな、お前は」,「你还真是正直啊」
【ティア】,【缇娅】
「褒めてくれるんですか」,「这是在夸我吗？」
【カイム】,【凯伊姆】
「まあな」,「算是吧」
どちらかといえば皮肉だ。,硬要说起来，应该说成是嘲讽才对。
牢獄で、ティアの正直さは貴重だが何の得にもならない。,在牢狱里，缇娅的这份正直虽然很珍贵，但却没有任何价值。
むしろ寿命を縮めることになるだろう。,倒不如说，这只会让自己的寿命无端减少。
【ティア】,【缇娅】
「よかったです」,「太好了」
【ティア】,【缇娅】
「最後に褒めてもらえました」,「到最后我还得到了表扬」
最後か。,最后吗。
せっかくだ、ジークに引き渡すその瞬間までは優しくしておこう。,既然已经走到这一步了，在把她交给吉克之前，就先温柔地对待她吧。
【カイム】,【凯伊姆】
「別に最後じゃない」,「这并不是最后」
【カイム】,【凯伊姆】
「これからのことは、明日ジークと相談しよう」,「关于之后的事情，我明天会去和吉克谈谈看」
【ティア】,【缇娅】
「もういいんです、カイムさん」,「已经够了，凯伊姆先生」
冷然とした口調だった。,缇娅用冷淡的口吻说道。
【カイム】,【凯伊姆】
「何？」,「怎么？」
【ティア】,【缇娅】
「わたしは全部話しました」,「我已经全部都说完了」
【ティア】,【缇娅】
「これ以上、優しくする価値なんてないです」,「已经没有，再继续被温柔对待的价值了」
【カイム】,【凯伊姆】
「おい」,「喂」
【ティア】,【缇娅】
「わかってます」,「我知道的」
【ティア】,【缇娅】
「わたしが事件のことを話しやすいように、優しくしてくれたんですよね」,「您是为了让我说出实情，才这么温柔地对我的」
【カイム】,【凯伊姆】
「それはお前の妄想だ」,「那是你的妄想」
ティアが激しく首を振る。,缇娅用力地摇头。
【ティア】,【缇娅】
「わたし聞いてしまったんです」,「我已经都听到了」
【ティア】,【缇娅】
「カイムさんの家に来た最初の日、みなさんが今後のことを相談しているのを」,「来到凯伊姆先生家里的第一天，就听到了大家在商量今后的事情」
【ティア】,【缇娅】
「だから、自分があの夜のことを話したらどうなるかも、大体分かっていました」,「所以说，我大概也就知道了，如果自己把那天晚上的事情说出来会变成怎样」
【カイム】,【凯伊姆】
「そうか……」,「这样啊……」
初めからばれていたとは、みっともない限りだ。,没想到我们的计划从最开始就暴露了，真是不像样。
つまり、俺達は互いの嘘を知っていたということか。,也就是说，我们彼此都知道，对方在欺骗着自己吗。
本当に茶番だったんだな、ティアとの数日は。,和缇娅度过的这几天，还真是戏剧化啊。
【カイム】,【凯伊姆】
「仮にお前の想像の通りだったとしてだ……」,「假如就像你所想的那样……」
【カイム】,【凯伊姆】
「喋ったら終わりだと分かっていて、どうして打ち明けた？」,「说出来以后，一切就都结束了的话，为什么还要向我坦白？」
【ティア】,【缇娅】
「それは……」,「那是因为……」
ティアが唇を噛んだ。,缇娅咬着嘴唇。
【ティア】,【缇娅】
「カイムさんの、ご迷惑になりたくなかったんです」,「我已经不想再给凯伊姆先生继续添麻烦了」
【カイム】,【凯伊姆】
「俺の？」,「给我？」
【ティア】,【缇娅】
「羽つきが家にいたら、いつか今日みたいなことになります」,「如果留羽化病人在家里的话，不知何时肯定也会发生像今天这样的事情」
【ティア】,【缇娅】
「わたしは守ってもらうほど価値のある人間じゃありません」,「我并不是值得被他人守护的存在」
【ティア】,【缇娅】
「犬猫と同じ食事ももらえなかった女です」,「只是个就连和猫狗一起吃饭的不够格的女人而已」
【ティア】,【缇娅】
「だからもう、知っていることはお伝えして、終わりにしようと思ったんです」,「所以我想，已经到把我所知道的事情和盘托出，让一切都结束的时候了」
訥々と語るティア。,缇娅喃喃地说道。
なぜか苛立ちが募る。,焦躁的感觉在心中蔓延。
【カイム】,【凯伊姆】
「なんだ、その意味不明な自己犠牲は？　聖職者にでもなったつもりか？」,「那个意义不明的自我牺牲算什么啊？你是打算要当个圣职者吗？」
【ティア】,【缇娅】
「わかりません」,「不知道」
【ティア】,【缇娅】
「わたし馬鹿だから、難しいことはわかりません」,「我是个笨蛋，所以不懂什么复杂的事情」
【ティア】,【缇娅】
「でも、カイムさん言ったじゃないですか」,「但是，凯伊姆先生不是问过我吗」
【ティア】,【缇娅】
「自分のせいで人が羽つきになっちゃったら、自分を許せるかって」,「如果因为我的缘故而让他人染上羽化病，我会不会原谅自己」
【ティア】,【缇娅】
「わたし、許せません」,「我是，不会原谅的」
【カイム】,【凯伊姆】
「それは大切な人間の話だ。俺達はお前を騙してたんだぞ」,「那是与最重要的人的事情。我们可是骗你的人哦」
【ティア】,【缇娅】
「それでも、親切にしてくれました」,「尽管那样，你们对我还是很亲切」
【カイム】,【凯伊姆】
「だからそれは……」,「所以说，那是因为……」
【ティア】,【缇娅】
「もういいですっ」,「已经够了」
ティアが言い切った。,缇娅打断了我的话。
【ティア】,【缇娅】
「やめてください……もう……」,「请不要再说下去了……已经……」
騙されたことを怒っているのか。,是在因为被骗而感到生气吗。
いや、俺が騙しにかかるのは初めから知っていたはずだ。,不，她应该从最开始就已经知道我在骗她这件事了。
ばれていることにも気づかず、臆面もなく演技し続けた俺に怒っているのか？,是在因为穿帮之后，仍然恬不知耻地继续着演技的我而感到愤怒吗？
なら、そんな男に迷惑をかけたくないなどと考えるだろうか？,是那样的话，她还会考虑着不想要给我这种男人添麻烦吗？
むしろ利用するのに気が咎めなくていいではないか。,倒不如说，我才应该对这样利用她感到愧疚。
まさか、本気で俺に惚れて？,难不成，她真的对我有意思？
ありえない。,不可能。
騙してくるのが初めから分かっているのに。,明明从最开始就知道我在骗她。
ティアの考えていることがわからない──,我无法理解缇娅是怎么想的――
今まで、明瞭に見えていた心の<うち>裡|が、黒い<もや>靄|に覆われている。,至今为止，一贯都了无牵挂的心中，突然笼罩了一层漆黑的云霭。
ああ、この感じは知っている。,啊啊，我知道这种感觉。
馴染んでいた女と別れる時の、あの感じ。,这是在与心仪的女孩子道别之时，所会产生的感觉。
ずっと通じ合っていると考えていた人間が、突然理解不能の別人へと変わる、一瞬の鮮烈な切り替わり。,一直坚信彼此心意相通的人，突然变成了自己无法理解的他人，这种强烈的瞬间替代感。
女の中だけで完結した感情の積み重ね。,只在女孩子心中纠结的感情不断堆积。
それは、男には攻略できない堅牢な砦だ。,变成了，男人所无法攻略的坚固堡垒。
こんなところで、ティアに女を感じるとは思いもよらなかった。,我完全没有想过，会在这里意识到缇娅身为女孩子的一面。
【ティア】,【缇娅】
「話せることは全部話しました」,「该说的都已经说完了」
【ティア】,【缇娅】
「だからもう、わたしは役に立たない……唄えなくなった小鳥と同じです」,「所以，我已经没有用了……就像那只无法再歌唱的小鸟」
【ティア】,【缇娅】
「終わりにしましょう」,「让这一切结束吧」
【カイム】,【凯伊姆】
「終わりにしてどうする？　羽狩りの詰め所にでも行くのか？」,「结束以后你要怎么做？要去羽狩的看守所吗？」
【ティア】,【缇娅】
「羽狩りさんは怖いので、どこか違うところに行きます」,「羽狩先生们太可怕了，我会去其它的某个地方的」
【カイム】,【凯伊姆】
「だからどこに行くんだ？」,「所以说，我问你要去哪里？」
【カイム】,【凯伊姆】
「お前みたいな奴がフラフラしてたら、チンピラのいいカモだぞ」,「像你这样的小家伙到处乱晃的话，会成为小混混的猎物哦」
【ティア】,【缇娅】
「辛い目に遭うのは慣れてますから」,「我已经习惯遭受痛苦了」
【カイム】,【凯伊姆】
「馬鹿かお前は」,「你是笨蛋吗」
【ティア】,【缇娅】
「馬鹿です」,「我是笨蛋」
【ティア】,【缇娅】
「何度も、馬鹿だって言ってるじゃないですか……」,「我不是已经说过很多次了吗，我就是个笨蛋……」
ティアが鼻声になった。,缇娅抽泣着。
膝に置いた手が、息をするようにスカートの裾を握ったり離したりしている。,落在膝盖的手上，无意识地将裙摆握紧又松开。
言うべき言葉が出てこなかった。,本应说出的话却没能说出口。
【ティア】,【缇娅】
「馬鹿なんです」,「我是笨蛋」
【ティア】,【缇娅】
「だからもう、わたしみたいな女は構わないでください」,「所以，请不要再管我这种女人了」
ティアが立ち上がる。,缇娅站了起来。
【カイム】,【凯伊姆】
「おいっ」,「喂」
追いすがろうとして、俺は床に膝をついた。,我刚想去追，就不由自主地跪倒在地上。
身体が重い。,身体好重。
どうした？,怎么回事？
何が起こってる？,发生了什么？
【カイム】,【凯伊姆】
「……」,「……」
【ティア】,【缇娅】
「すみません」,「对不起」
ティアの手から、薬包紙が落ちる。,一个装药的纸包从缇娅手中滑落。
【カイム】,【凯伊姆】
「……お前…………」,「……你…………」
【ティア】,【缇娅】
「昼間に、エリスさんの薬箱からこっそり盗っておいたんです」,「这是白天的时候，我从艾莉斯小姐的药箱中偷偷拿来的」
【ティア】,【缇娅】
「分量が分からなかったので、全部入れてしまいました」,「因为不清楚使用的分量，所以就全都放进去了」
【ティア】,【缇娅】
「でも、眠り薬って書いてありますから、きっと大丈夫ですよね」,「但是，因为上面有写着是安眠药，所以我想肯定不会有事的」
量を間違えれば死ぬ。,如果搞错量的话会死人的。
とことん馬鹿だこいつは。,这家伙，到底是笨到了什么程度啊。
一人じゃ、何をやらかすかわからん。,真难以想象，让她孤身一人会变成怎样。
【カイム】,【凯伊姆】
「馬鹿……が……」,「笨蛋……吗……」
ティアが儚げに笑う。,缇娅寂寞地笑了。
【ティア】,【缇娅】
「ずっと言おうと思ってたんですけど、人のこと馬鹿とかあほとか言っちゃ駄目です」,「其实我一直都想告诉您，请不要总说别人是笨蛋傻瓜之类的」
【ティア】,【缇娅】
「わたしは本当に馬鹿だからいいけど、他の人はそうじゃないので」,「我因为真正很笨倒也罢了，别的人可不是那样的」
【カイム】,【凯伊姆】
「う……うるさい」,「少……少啰嗦」
しびれが、身体に拡がっていく。,麻痹感在身体中扩散开。
【ティア】,【缇娅】
「カイムさん、お世話になりました」,「凯伊姆先生，承蒙您的照顾」
【カイム】,【凯伊姆】
「……ティ、ア……」,「……缇，娅……」
【ティア】,【缇娅】
「さようなら」,「再见了」
【ティア】,【缇娅】
「嘘でも恋人みたいなことができて、すごく嬉しかったです」,「尽管是假的，但能和您像恋人一样度过这段时间，我非常的开心」
思えば、牢獄を一人で歩くのは初めてだ。,现在想想，我还是第一次独自走在牢狱之中。
こんなに人が歩いているのに、みんな異世界の人に見えて心細い。,街道上明明有那么多的行人，但大家看起来都像是异世界的人一样。
言葉すら通じないような気がしてくる。,甚至有种无法与他们沟通的感觉。
【リサ】,【莉莎】
「あれー、きみってアレじゃない？　ほら、なんだっけ、クリス？」,「啊咧－你不是那个谁嘛。你看，叫什么来着，克里斯？」
【ティア】,【缇娅】
「あの、わたしはティアです」,「那个，我叫缇娅」
【リサ】,【莉莎】
「そっか、そっか」,「这样啊，这样啊」
【リサ】,【莉莎】
「んで、ティアちゃんは一人でどーしたの？　カイムは？」,「那么，缇娅一个人在干什么呢？凯伊姆呢？」
【ティア】,【缇娅】
「あ、えーと……カイムさんは、ちょっと用事があって……」,「啊，那个－……凯伊姆先生，稍微有点事情要做……」
【リサ】,【莉莎】
「いけないなーカイムは、女の子を一人にさせて」,「这可不行啊－凯伊姆，居然让女孩子自己出门」
【ティア】,【缇娅】
「そうなんです、悪い人なんです」,「就是啊，他是个坏人呢」
【リサ】,【莉莎】
「ってあれ？　ティアちゃん、何で泣いてるの？」,「我说，啊咧？缇娅，你怎么哭了？」
【ティア】,【缇娅】
「え？」,「哎？」
【ティア】,【缇娅】
「え？　え？」,「哎？哎？」
涙が、,眼泪，
止まらない。,停不下来。
【ティア】,【缇娅】
「す、すみませんっ」,「对，对不起」
【リサ】,【莉莎】
「あっ、ちょっと！？」,「啊，等等！？」
リサさんの声を振り切り、走る。,我将莉莎小姐的声音甩在身后跑开了。
【ティア】,【缇娅】
「ぐすっ……」,「咕……」
何で。,为什么。
どうして。,为什么。
涙が溢れてくるんだろう。,泪水会喷涌而出呢。
【ティア】,【缇娅】
「うっ……ひっく……」,「呜……稀呜……」
まさか、名前を聞いただけで涙が出てくるなんて。,没想到，只是听到他的名字就流出了眼泪。
路地に座り込み、手の甲で涙を拭く。,我坐在小巷中，用衣袖擦拭泪水。
【ティア】,【缇娅】
「カイムさん……」,「凯伊姆先生……」
あの人は、わたしにずっと嘘をついていた。,那个人，一直都在欺骗着我。
気に入ったから優しくしてる、なんて。,嘴上说着对我有意才会这么温柔。
本当は、情報を聞き出すために優しくしていただけなのに。,其实，只是为了要问出情报而假装成温柔而已。
わたしは酷いことをされていたのだ。,我被很过分地对待了。
心を弄ばれていたのだ。,真心被玩弄。
普通に考えたら恨んでもいいはずなのに、心は理屈通りに動かない。,普通地思考的话，就算产生恨意也不足为过，但我的心却拒绝着那种想法。
【女性の声】,【女声】
「君、調子でも悪いのか」,「你身体不舒服吗」
【ティア】,【缇娅】
「！？」,「！？」
頭が熱くなっていて、すぐ側に立っている人に気づかなかった。,我的头脑太过发热，就连身旁站了一个人都没有注意到。
【ティア】,【缇娅】
「あ、あなたは」,「您，您是」
【フィオネ隊長】,【菲奥奈队长】
「ああ、君は……」,「啊啊，你是……」
【フィオネ隊長】,【菲奥奈队长】
「今日は世話になったな」,「今天承蒙照顾了啊」
【ティア】,【缇娅】
「い、いえ、こちらこそ」,「没，没有，我才是」
どうしよう。,怎么办。
羽狩りさんに見つかってしまった。,我被羽狩发现了。
こういう時は、どうするんだっけ？,这个时候，应该怎么做来着？
そう、普通にしていればいいんだ。,没错，装成普通的样子就好。
何度もカイムさんに言われたじゃないか。,凯伊姆先生不是说过很多次吗。
【フィオネ隊長】,【菲奥奈队长】
「で、こんなところでうずくまってどうした」,「那么，你为什么会在这里啜泣呢」
【ティア】,【缇娅】
「なんでもありません、大丈夫です」,「没什么，不要紧的」
【フィオネ隊長】,【菲奥奈队长】
「にしては顔色が悪い」,「可是，你的脸色很差」
隊長が、一歩こちらへ近づいた。,队长向这边走近了一步。
腰の剣が無機質な音を立てる。,腰间的宝剑响起无机质的声音。
【ティア】,【缇娅】
「ひ……」,「咦……」
記憶が蘇る。,记忆复苏。
無惨な羽つきの姿。,羽化病人们的惨状。
羽に染みついた赤黒い血液。,那浸透羽翼的红黑血液。
隻腕の少女の夢見るような声。,单臂的少女如坠梦中的声音。
犯罪者のように連れて行かれる羽つきを、冷然と見つめる牢獄の人たち。,还有那些冷漠地看着羽化病人被像犯罪者一样带走的，牢狱的人们。
【フィオネ隊長】,【菲奥奈队长】
「どうした？」,「怎么了？」
月を背にした隊長が、手を伸ばしてきた。,背对着月亮的队长向我伸出手。
店の主の腕を切り飛ばした、その手が。,就是这只手，斩飞了店主的胳膊。
【ティア】,【缇娅】
「いや……」,「不要……」
自分の記憶ではない。,这不是自己的记忆。
そう思いたかった。,我好想这样认为。
だが分かる。,但是我也知道。
これは、紛れもなく自分の記憶だ。,这毋庸置疑，正是自己的记忆。
【ティア】,【缇娅】
「いやぁっ」,「不要－」
【フィオネ隊長】,【菲奥奈队长】
「おいっ！？」,「喂！？」
【フィオネ隊長】,【菲奥奈队长】
「触れることも許されないか……」,「连碰触都不允许吗……」
【フィオネ隊長】,【菲奥奈队长】
「わかっていたこととはいえ、因果な仕事だ」,「虽然是已经知道的事情，但还真是个不幸的工作啊」
【ティア】,【缇娅】
「はあっ、はあっ、はあっ、はあっ」,「哈啊，哈啊，哈啊，哈啊」
出鱈目に角を曲がり、ひたすらに走る。,我慌忙地走过一个个转角，漫无目的地跑着。
怖い。,好可怕。
怖い、怖い、怖い。,好可怕，好可怕，好可怕。
頭の中が真っ白で何も考えられない。,脑中一片空白，什么都无法思考。
脚だけが勝手に動き、わたしを運んでいく。,只有脚擅自地动作着，带着我奔跑。
牢獄の奥へ、奥へ、,向着牢狱的深处，深处。
さらに奥へと──,更深处――
【エリス】,【艾莉斯】
「……カイムっ、カイムっ」,「……凯伊姆，凯伊姆」
【エリス】,【艾莉斯】
「しっかりして、カイムっ」,「振作一点，凯伊姆」
遠くからエリスの声がする。,远处传来艾莉斯的声音。
なぜエリスの声が？,为什么会是艾莉斯的声音？
俺は何をしている？,我在做什么呢？
【エリス】,【艾莉斯】
「カイムっ」,「凯伊姆」
目を開く。,我睁开眼睛。
ぼやけた視界には、エリスの顔が大写しになっていた。,模糊的视野里，艾莉斯的脸庞成了一个大大的特写。
【エリス】,【艾莉斯】
「カイムっ」,「凯伊姆」
【カイム】,【凯伊姆】
「う……」,「唔……」
身体が砂袋のように重い。,身体重得像个沙袋。
首を動かすだけでも苦痛だ。,只动下头都会感到痛苦。
【エリス】,【艾莉斯】
「寝たままでいい」,「就这样躺着」
【エリス】,【艾莉斯】
「薬が抜けきってないから」,「你的药劲还没过」
エリスが俺から離れた。,艾莉斯从我身边离开。
【カイム】,【凯伊姆】
「……薬？」,「……药？」
【エリス】,【艾莉斯】
「睡眠薬。あの子に飲まされたのよ」,「催眠药，是那个孩子给你喝的」
あの子？,那个孩子？
飲まされた？,让我喝的？
【カイム】,【凯伊姆】
「！？」,「！？」
【カイム】,【凯伊姆】
「ぐっ」,「咕」
跳ね起きようとして、ベッドから落ちた。,我想从床上一跃而起，但却摔回了床上。
【エリス】,【艾莉斯】
「大人しくしてて、余計な怪我が増える」,「老实点，不要增加多余的伤处」
【エリス】,【艾莉斯】
「……あ、それはそれで」,「……啊，不过那样也不错」
エリスがいそいそと俺を助け起こす。,艾莉斯兴冲冲地帮我坐了起来。
【カイム】,【凯伊姆】
「ティ、ティアは……」,「缇，缇娅呢……」
【エリス】,【艾莉斯】
「いない」,「不在了」
出て行ったか。,出去了吗。
【カイム】,【凯伊姆】
「馬鹿が……」,「那个笨蛋……」
【エリス】,【艾莉斯】
「馬鹿はカイム。あんな女信用して」,「笨的是相信那种女人的凯伊姆」
【エリス】,【艾莉斯】
「リサが一人で泣いてるティアを見たって言うから、様子を見に来たらこの様」,「听莉莎说看到缇娅在一个人哭，所以我就来看看，结果就是这个样子」
【エリス】,【艾莉斯】
「元暗殺屋のくせに、だらしない」,「亏你原来还是个杀手，真不像话」
【カイム】,【凯伊姆】
「……」,「……」
【エリス】,【艾莉斯】
「カイムって、信用した人には弱いよね」,「凯伊姆对自己相信的人很没辙呢」
【カイム】,【凯伊姆】
「面倒かけた」,「因为很麻烦」
【カイム】,【凯伊姆】
「で、あいつはどこに？」,「那么，那家伙跑到哪去了？」
【エリス】,【艾莉斯】
「知らない」,「不知道」
【エリス】,【艾莉斯】
「どうするの？　貴重な情報源を逃がしちゃって」,「怎么办？贵重的情报源逃掉了」
【カイム】,【凯伊姆】
「いや、聞けることはもう全部聞いた」,「不，咱们想问的事她都已经告诉我了」
【エリス】,【艾莉斯】
「はあ？」,「哈啊？」
怪訝な顔をする。,艾莉斯的表情一脸诧异。
【エリス】,【艾莉斯】
「なら、事件の犯人は？」,「那么，那件事的犯人是？」
【カイム】,【凯伊姆】
「ティアは見てないらしい」,「缇娅似乎没有见到」
【エリス】,【艾莉斯】
「はあぁぁ……」,「哈啊啊啊……」
何ともいえない顔でため息をつかれた。,一副无可奈何的表情叹了口气。
【エリス】,【艾莉斯】
「騙されてる。あの女、犯人をかばってる」,「你被骗了。那个女人在包庇犯人」
【エリス】,【艾莉斯】
「じゃなきゃ逃げる必要ないし」,「不然她没有必要逃跑」
【カイム】,【凯伊姆】
「逃げたんじゃない。出て行ったんだ」,「她没有逃跑，只是出去了而已」
【エリス】,【艾莉斯】
「何その感傷的なこだわりは」,「这算什么啊，你那感伤的坚持」
不味いものを食わされたような顔で言い捨てた。,艾莉斯丢下这句仿佛吃到什么难吃东西的话。
【エリス】,【艾莉斯】
「じゃ、どうしてティアは出て行ったの？」,「那么，为什么缇娅出去了？」
【カイム】,【凯伊姆】
「自分がいると、羽狩りが来て迷惑かけるからだとさ」,「她怕自己留在这里，会把羽狩引来而给我添麻烦」
【エリス】,【艾莉斯】
「嘘に決まってる」,「肯定是骗人的」
【エリス】,【艾莉斯】
「ねえ、いい加減怒るよ。子供の遊びじゃないんだから」,「呐，我要生气了哦。这可不是什么小孩子的游戏」
冷たく絞った手拭きを額に投げつけられた。,艾莉斯冰冷的毛巾拧过后扔到我的头上。
【エリス】,【艾莉斯】
「ジークに報告してくる」,「我去向吉克报告」
【エリス】,【艾莉斯】
「カイムはもう一眠りして薬抜いて」,「凯伊姆就在这里睡到药效过去为止」
【カイム】,【凯伊姆】
「頼む」,「拜托了」
【エリス】,【艾莉斯】
「どれだけ心配したと思ってるの」,「你知不知道你让我多担心啊」
【エリス】,【艾莉斯】
「死んでいいから」,「死掉算了」
空気を振るわせてドアが閉まった。,磅！门被摔上的响声，仿佛让空气都随之震动。
エリスが怒るのは無理もない。,艾莉斯会生气也是没办法的。
【カイム】,【凯伊姆】
「……」.,「……」
だが、ティアは嘘をついていないだろう,但是，缇娅应该没有说谎
やはり、ティアには騙されたのかもしれない,又或许，我果然是被缇娅骗了
だが、ティアは嘘をついていないだろう。,但是，缇娅应该没有说谎吧。
やはり、あいつには騙されたのかもしれない。,又或许，我果然是被缇娅骗了也说不定。
事実だけを追えば、そう考えるのが妥当だ。,从事实来说，应该这么想比较妥当。
……いや、,……不对，
あいつは、そんなに器用な奴じゃない。,那家伙没有那么精明。
自分を騙している人間に嘘をつくことすら、申し訳ないと思うような女だ。,她是那种即使对欺骗自己的对象说谎，都会为此而感到歉疚的女人。
【ジーク】,【吉克】
「何も知らない……か」,「什么都不知道……吗」
ジークが、葉巻を弄びながら<つぶや>呟|いた。,吉克摆弄着手上的烟卷嘟哝着。
【ジーク】,【吉克】
「信じてるのか？」,「值得信任吗？」
【ジーク】,【吉克】
「犯人をかばってるのかもしれない」,「她说不定在袒护犯人」
【カイム】,【凯伊姆】
「それはないと思う」,「我觉得不可能」
【ジーク】,【吉克】
「根拠は？」,「根据是？」
【カイム】,【凯伊姆】
「勘だ」,「感觉」
【ジーク】,【吉克】
「おいおいおいおいおい」,「喂喂喂喂喂」
ジークが葉巻をテーブルに放り投げた。,吉克把烟卷丢在桌上。
【ジーク】,【吉克】
「どうかしてるぞお前」,「你这是怎么了」
【ジーク】,【吉克】
「見張りもつけずに家に一人で置く、薬は盛られる、女にゃ逃げられる」,「毫无防备地把她一个人留在家里，然后又被灌了药，还让那女的逃掉了」
【ジーク】,【吉克】
「ここはどこだ？　ガキのたまり場か、ああ？」,「这里是哪里？小鬼的聚会所吗？啊啊？」
【カイム】,【凯伊姆】
「すまない」,「抱歉」
【ジーク】,【吉克】
「すまない、じゃねーよっ」,「说抱歉有什么用－啊」
ジークに叩かれ、テーブルが跳ねた。,在吉克的敲击下，桌子跳了起来。
【ジーク】,【吉克】
「先代なら鞭打ちものだな」,「换成是先代肯定会拿鞭子抽你」
【ジーク】,【吉克】
「しかし、お前の直感は間違っちゃいないとは思う」,「但是，我觉得你的直觉应该不会有错」
【エリス】,【艾莉斯】
「何、その異常な信頼」,「什么啊，那种异常的信赖」
【ジーク】,【吉克】
「黙ってろ」,「闭嘴」
【ジーク】,【吉克】
「だがカイム、逃げられた言い訳と取られても仕方ない状況だぞ」,「但是凯伊姆，你被她逃掉了也是无可否认的事实」
反論の余地などない。,没有反驳的余地。
【ジーク】,【吉克】
「あの女、どこに行ったか見当はついてるのか？」,「知道那个女人去哪里了吗？」
【カイム】,【凯伊姆】
「連れ戻すつもりか？」,「你打算把她带回来？」
【ジーク】,【吉克】
「近所をうろうろされたら迷惑ってだけだ」,「只是觉得她如果在附近转来转去会很麻烦」
【ジーク】,【吉克】
「どこかで野垂れ死んでくれてるのを心から祈ってるよ」,「只能祈祷她在哪个没人知道的地方死掉了」
【カイム】,【凯伊姆】
「……」,「……」
【ジーク】,【吉克】
「もしまた顔を出すようなことがあったら、お前が処分してくれ」,「如果在哪里露脸的话，你就把她处理掉」
【ジーク】,【吉克】
「それが責任の取り方だろう？」,「这是你担责任的方法吧？」
【カイム】,【凯伊姆】
「ああ」,「啊啊」
【ジーク】,【吉克】
「頼んだぞ」,「拜托了」
言い置いて、ジークが出口へ向かう。,丢下这句话后，吉克就向门口走去。
【カイム】,【凯伊姆】
「ジーク……」,「吉克……」
【ジーク】,【吉克】
「あん？」,「啊嗯？」
【カイム】,【凯伊姆】
「……いや、何でもない」,「……不，没什么」
ジークが苦笑する。,吉克露出苦笑。
【ジーク】,【吉克】
「降りそうな空気だな」,「好像要下雨了啊」
【エリス】,【艾莉斯】
「最悪、外套持ってきてない」,「真惨啊，我可没有带外套来」
【ジーク】,【吉克】
「濡れた女は嫌いじゃないぜ」,「我不讨厌湿漉漉的女人哦」
【エリス】,【艾莉斯】
「あっそ。じゃあ濡れないようにする」,「这样啊。那我会注意不让自己被淋湿的」
【ジーク】,【吉克】
「つれないな」,「真冷淡啊」
【エリス】,【艾莉斯】
「ほら、帰って」,「好了，回去吧」
【ジーク】,【吉克】
「わかったよ」,「知道了啊」
【ジーク】,【吉克】
「じゃあなカイム。女のことは酒でも呑んで忘れちまえ」,「那就这样，喝杯酒把那个女人忘掉吧，凯伊姆」
ドアが閉まった。,门关上了。
【カイム】,【凯伊姆】
「……くそ」,「……可恶」
問題は何ひとつない。,已经没什么问题了。
ティアから聞くべきことは聞けた。,该问的都已经从缇娅那里问到了。
身の始末も、勝手につけてくれた。,身体基本也能自由地活动了。
ヴィノレタにでも行って高い酒を頼めば、ご機嫌な仕事明けの夜になるはずだ。,去菲诺列塔点几杯高价的酒，待一个晚上，这个讨厌的工作就算是结束了。
にもかかわらずこの後味の悪さ。,虽然余味很让人不快。
【エリス】,【艾莉斯】
「体調はどう？　まだ薬残ってる？」,「身体怎么样了？还有药物残留吗？」
【カイム】,【凯伊姆】
「まだ少し、頭と身体が重い」,「头和身体还有点沉重」
【エリス】,【艾莉斯】
「あの女、かなり混ぜたみたいね」,「那个女人，好像放了相当多的药进去呢」
【エリス】,【艾莉斯】
「次に顔見たら……」,「下次再让我看见她……」
【エリス】,【艾莉斯】
「って、そんなことないか」,「不过，应该也没机会了啊」
ティアは、そう長く羽狩りからは逃げられないだろう。,缇娅不可能长时间逃脱羽狩的追捕。
運良く逃れたとしても、あいつが牢獄で何日も生き延びられるとは思えない。,就算运气好而逃脱了，我也不认为那家伙能在牢狱活多久。
【エリス】,【艾莉斯】
「お茶にする」,「喝杯茶吧」
【カイム】,【凯伊姆】
「酒にしてくれ」,「给我酒」
【エリス】,【艾莉斯】
「薬と合わせると最悪よ」,「和药混在一起会很糟哦」
【カイム】,【凯伊姆】
「今でも十分最悪だ」,「现在就已经够糟了」
ため息をついて、エリスが酒を用意する。,艾莉斯叹了口气，开始倒酒。
【カイム】,【凯伊姆】
「お前も飲むか？」,「你也来喝吗？」
【エリス】,【艾莉斯】
「いらない」,「我才不要」
【カイム】,【凯伊姆】
