とぼけた顔をしているが、その手は腰に伸びている。,少年虽然做出装糊涂的表情，但他的手却不自觉地伸向了腰际。,少年虽装傻，但手却不自觉伸向腰间。
「沈黙は肯定と認識する」,「如果沉默的话我就当成是肯定了」,
ナイフが悲鳴を上げ、周囲が一瞬だけ昼の明るさを取り戻す。,挥舞着的小刀伴随着兵器碰撞产生的悲鸣，一瞬间照亮了周围的黑夜。,
男のナイフが舞う。,男人的小刀在空中飞舞。,
一撃一撃は、致命傷にはならないだろう。,在一记又一记的攻击下，并不会造成致命的损伤。,
体力を削られれば、次の一撃を受けやすくなる。,在体力被削减之后，就很容易被进行下一次的攻击。,
一度相手の流れに飲まれれば、ジリ貧だ。,而只要被对手掌握一次主动，就会很难应付。,
刃は避けていたが、フィオネの集中力は一撃毎に削られていた。,虽然刀锋是被避开了，但在每一次攻击下，她的集中力都会随之被削弱。,
こんなところで、顔も見えない夜盗に殺されるのか。,我会在这种地方，被这个连脸都没有看到的夜贼杀掉吗。,
片目が塞がれれば、距離感がなくなる。,一支眼被遮住的话，距离感也会随之而丧失。,
生死が拮抗した状況においては、致命的と言えた。,现在的状况，在这种生死相搏之中称得上是致命的不利。,
千載一遇！,千载难逢的机会！,
反応は一瞬。,菲奥奈在瞬间作出反应。,
フィオネ渾身の突きが、流星のように雨闇を疾る。,将浑身的气力加诸在突击之上。如流星一般冲破漆黑的雨夜。,
それでも、ナイフは剣を受けた。,尽管如此，还是用小刀裆下了这一剑。,
だが、事実は違う。,但是，事实并非如此。,
「貴様……」,「你这家伙……」,
雲はまだ晴れず、周囲は黒で塗り潰されている。,但乌云还没有散去，周围仍旧是一片不见五指的漆黑。,
全速力で走る。,我全力向声音的方向跑去。,
男の死体だ。,是男人的尸体。,
装備からして羽狩りだろうが、頭部が見当たらない。,从装备上推断应该是羽狩的成员，但头部却消失不见了。,
鷲鼻の奴だ。,是鹰钩鼻的那个家伙。,
残るは……,剩下就是……,
迫り来る喪失の予感に、動悸が速くなる。,向我迫来的将要丧失某物的预感，令我的心跳速度加快。,
ティア……無事でいてくれ。,缇娅……你一定要平安无事啊。,
忍び足で進む。,我悄悄地向前走去。,
それでも、自分の足音が大きく聞こえた。,尽管如此，自己的脚步声还是清晰地响彻在耳中。,
肩から臍の脇に到る、長く深い引き裂き傷。,我看到了她从肩膀到肚脐旁地，又深又长的割伤。,
駆け寄り、身体を抱く。,我冲上前去，抱住她的身体。,
何度も呼びかけるが、反応はない。,一次次地呼喊着她，她却没有任何反应。,
止血したい。,想要为她止血。,
身体を揺すると、首が力なく揺れた。,我用力地摇着她的身体，令她的脑袋也随之无力地晃动着。,
初めにやってきた感情は、嘆きでも悲しみでもない。,对于我这份初次拥有的感情，我既没有哀叹，也没有悲伤。,
失って初めて気がつく。,失去了以后才第一次注意到。,
否定する間もなく、それは一瞬で消えた。,就连做出否定的时间都没有，就瞬间消失了。,
ティアという女は本当に謎だ。,这个叫做缇娅的少女，真的是个谜一般的存在。,
その言葉が、俺をより苦しめるとも知らずに。,但是她不知道，那些话只会让我愈发地感到痛苦。,
汚れか、歪みか、嘘か……,是自己的污秽，歪曲，还是谎言呢……,
悲しくはない。,我并不感到悲伤。,
頬を撫で、付着した血液を拭う。,我摸着她的脸颊，擦去上面沾染的血液。,
体温は下がり、肌の弾力は弱くなっていた。,脸上已经感受不到她的体温，肌肤的弹力也已变弱。,
完全な死体だ。,已经完全变成了一具尸体。,
指で唇に触れる。,我用手指碰了碰她的嘴唇。,
鼻、眉、額、そして頭を撫でる。,还有鼻子，眉毛，额头，最后摸到了她的头。,
そこにいるだけで賑やかになった。,只是待在那里，就能让气氛变得热闹起来。,
間が抜けてると思っていた笑顔も、今は懐かしい。,她那不久之前还觉得有些厌倦的笑容，现在也让我感到非常怀念。,
ティアの人生はあまりに救いがない。,缇娅的人生中，几乎没有被拯救的时候。,
これでは、何のために生まれてきたのかわからないじゃないか。,这样，不就无法弄清，她究竟是为了什么而降生在这个世上的了吗。,
こんな安物を大事に抱えているとはな。,没想到她还如此珍重地抱着这种便宜货啊。,
「なかなかいい女だ」,「真是个不错的女人啊」,
こんなもので良ければ、いくらでも。,如果喜欢这种东西，无论想要多少我都会给她买。,
眼を細めたその時、ティアの死体がぼんやりと光を帯びた。,正在我眯起眼睛这样想到的时候，缇娅的身体上泛起微微的光芒。,
目の錯覚ではない。,这不是我眼睛的错觉。,
ティアの診察を終えエリスが言った。,结束对缇娅的诊察后，艾莉斯如是说道。,
それでも異常なし、か。,即便如此，却没什么异常，吗。,
だが、医者のエリスがそう言う以上、ティアの身体は普通の人間と変わらないのだろう。,但是，既然身为医生的艾莉斯都这么说了，那么缇娅的身体肯定就和普通的人类没什么区别。,
「カイムの頼みだからやってるだけ」,「我只是被凯伊姆拜托了所以做了而已」,
「貧弱な胸ね」,「真是个瘦弱的胸部呢」,
「帰る」,「回去了」,
「感謝は形にして返して欲しい」,「我倒是希望你能给个有形的谢礼」,
不機嫌全開でエリスは家を出て行った。,啪当将不愉快的心情表露无遗的艾莉斯摔门而出。,
蘇生から数刻。,复活之后过了几个小时。,
「いえ、大丈夫です」,「不用，已经不要紧了」,
「傍にいればわかるんだろ？」,「只有在你身边才会搞明白这点吧？」,
「これ以上は大して変わらん、気にするな」,「就算继续下去也没什么太大区别，不用介意」,
「そう言われても困ります」,「就算您这么说我还是很困扰」,
「俺も困る」,「我也很困扰」,
「作戦ならこんな面倒な話はしない」,「如果是作战，就不会和你说这么多废话了」,
「理由を聞かれた時のために、それなりの答えを用意しておく」,「我会为了被问到理由的时候能对答如流，而去特意准备好完美的答案的」,
理由もなく、感情だけで人を引き留める。,没有理由，只是因为自己的感情而把别人留在身边。,
覚えてる限りでも、１、２回。,在我的记忆中，也不过只有一两回而已。,
「わたしだって、得にならないのにこの家から出ましたから」,「我也是，明明无法接受自己的做法，却还是从这个家里走了出去」,
「お前と同程度扱いか」,「你是说我和你一样幼稚吗」,
「落ちたもんだ」,「你还真是会损人啊」,
「でも、カイムさんがどうしてもって言うのなら」,「但是，如果凯伊姆先生说无论如何都想要我留下来的话」,
「偉そうに」,「一副了不起的样子」,
「いえいえいえ、嘘です嘘です」,「不会不会不会，开玩笑的开玩笑的」,
「その代わり、掃除は全部任せる」,「与之相对的，扫除工作就全都交给你了」,
「例の光か……エリスから聞いたよ」,「那道光吗……我从艾莉斯那里听到了」,
「お前のやっていることはおかしい、それでもか？」,「你所做的事情非常奇怪，即便如此也还要做下去吗？」,
「それでも、だ」,「即便如此，也还要做下去」,
「手持ちが若干足りない」,「我手上的钱稍微有些不足」,
「エリスの身請けにかなり使った」,「为了给艾莉斯赎身基本上都用光了」,
「今夜中に５００稼ぐ方法だってある」,「哪怕是今天一个晚上就能挣到５００枚的工作都有」,
「何度も言っただろ。もう、金ずくの殺しはしない」,「我已经说过很多次了吧。我已经不会再为金钱而杀人了」,
組織の頭に借金するなど、ぞっとしないが仕方がない。,我虽然对向组织的头领借钱这种事没什么兴趣，不过这也没办法。,
「締めてまあ、金貨６００ってことで」,「算在一起的话，大概是６００枚金币吧」,
すぐさま現れたオズに証文の準備を指示した。,向立刻应声出现的奥兹进行了关于文契准备的指示。,
「俺は、光の謎を知りたい」,「我想要知道，那个光的谜团」,
「遠慮しておく」,「那个不用你费心」,
「一緒に住む」,「我要和她一起住」,
あいつは俺の物になりたがり、俺は拒絶する。,那家伙一直想要成为我的所有物，但都被我拒绝了。,
言いたくなかったが、知られてしまったのだから仕方がない。,虽然我不打算特意说出口，不过既然已经被她知道了，那也没办法了。,
「訳あり品で、かなり安かった」,「因为你是个缺陷品，所以相当的便宜」,
「その呼び方も直せ。今まで通りでいい」,「把那个称呼方式给我改过来，用原来的叫法就好」,
「命令だ」,「这是命令」,
字数の問題か。,是字数的问题吗。,
妙に残念そうだ。,貌似微妙地失落了。,
「お前がそう言うなら構わん」,「既然你都这么说了那也没办法」,
「上層や下層とは、また別の世界です」,「是和上层还有下层，完全不同的另一个世界」,
「リシア様……」,「莉西亚大人……」,
ティアとの面倒な同居が始まって約一ヶ月。,从和缇娅开始麻烦的同居以来，已经过了约一个月。,
「全然」,「完全没有」,
「……かもな」,「……可能是吧」,
「頼む」,「怎么可能」,
「まさか」,「怎么可能」,
「何か聞いてないか？」,「你听到过什么消息吗？」,
「人手不足って話は聞くが、その逆は聞いたことがない」,「虽然听说过他们人手不足的传闻，但却没有与之相反的消息」,
「明らかな羽つきを狩るだけで精一杯か」,「去抓捕明显的羽化病人就已经竭尽全力了吧」,
「外出は許可するが、油断はするなよ」,「虽然我答应你外出，但是绝对不能大意」,
「独特の癖はありますが、これはこれで」,「虽然这里也有独特的气味，不过和那个无关」,
「うちの料理番がその味覚じゃ困る」,「如果家里的厨师长是这种味觉的话，我会很困扰的」,
「メルトが簡単に教えると思うか？」,「你以为梅尔特会那么简单就教你吗？」,
「店の味は料理人の命だ」,「自己店里的味道是料理人的生命」,
「店の秘伝じゃないのか」,「那些不是店里的秘传配方吗」,
これが牢獄の光景か。,这是牢狱中应该有的光景吗。,
長閑なものだ。,真是恬静的风景啊。,
むせ返るような血液の臭い。,充斥在周围的血腥味几乎令人窒息。,
──気配。,――便是这样的感觉。,
適当に相づちを打ちながらパンを飲み込む。,我一边适当地应付着她，一边将面包放进嘴里。,
「家の鍋の錆はもう落ちた？」,「家里锅子的铁锈已经掉下来了吗？」,
入口が激しい音を立てて開いた。,突然，大门被用力打开，传来很大的响声。,
「下がってろ」,「我把他扔出去」,
喧嘩など日常茶飯事だが、迷惑なことに変わりはない。,虽然只是会产生一阵喧哗的日常杂事，但会给人添麻烦这点还是没什么改变。,
警戒が顔に出ないよう注意する。,我掩饰着自己警戒的表情观察着她。,
「会うのは３度目か」,「这已经是第三次见面了吧」,
「迷惑なのは、今日もだがな」,「关于麻烦这点，今天也是一样啊」,
「邪魔する奴は実力で排除か」,「只要是干扰到你的人，就要用实力去排除掉吗」,
「ほら、立て」,「好了，站起来」,
「無茶はするな」,「别做无谓的事了」,
「部下が保護した」,「被我的部下保护起来了」,
男が、がくっと膝をつく。,男人的膝盖无力地跪在地上。,
鼻血男を目線で指し、女隊長に問う。,我用眼神指着流着鼻血的男人，向女队长问道。,
「関係はわからないが、若い女だった」,「我不清楚他们的关系，只知道对方是个年轻的女性」,
真っ直ぐな目で、毅然と言う。,她用率直的目光看着我，毅然地说道。,
自らの行動に、寸分の疑いを持っていない顔だ。,那副表情，完全没有对己方的行动持有任何的怀疑。,
「部下が鉄の棒で殴られた」,「但你的部下可是拿着铁棒在打他」,
「肩の骨が砕けたよ」,「肩膀的骨头都碎了哦」,
「気持ちはわかる」,「我理解你们的心情」,
「だが、それでは、この辺りのやくざ者と一緒だ」,「但是，那样一来，我们就和这边的流氓没什么区别了」,
こう、正論で押し切られては、溜るものがあるだろう。,像这样，被正论压住了复仇的心理，内心肯定会很不爽吧。,
その後ろ姿を、羽狩りの男が苦々しげに見送った。,而羽狩的男队员们都带着苦涩的表情目送着他的离去。,
「静かに飯も食えない」,「人们都不能安静地吃饭了」,
「住民の協力があれば、こんな装備も騒ぎも必要ないのだが」,「如果有居民的协助的话，我们也用不着拿着这套装备，去引发无谓的骚动了」,
腰の剣の柄を握ってみせる。,我看着她手中垂在腰间的剑柄。,
ご立派な信念も部下への愛情も、力なしには守り通せない。,无论是伟大的信念还是对部下的感情，在残酷的现实面前都显得十分无力。,
「どちらが先に矛を収めるかは、明白ではないか？」,「难道他们不能理解，究竟哪边才应该先将兵器束之高阁吗？」,
大丈夫だと仕草で答える。,我用没关系的姿势作出回答。,
「羽つきが、男のこれだった？」,「被抓的羽化病人是那个男人的这个吗？」,
「不注意ならな」,「如果不多加留心的话」,
「ま、念のためね」,「嘛，为了保险起见」,
「ティア」,「缇娅，你不要独自一人上街道乱走」,
小さくなるティア。,缇娅将身子缩成一团。,
「経験上、この席に座ると厄介事を押し付けられる」,「根据我的经验，只要坐在这里多半就会被委托一些麻烦事」,
「たまには、な」,「只是偶尔才会享用」,
「以前、黒い化物の話をしたの、覚えてるか」,「你还记得我以前说过的，有关黑色怪物的话题吗」,
「化物の調査に協力してくれって話が来た」,「过来找我，希望我能够帮助进行怪物的调查」,
「奴ら、羽が生えてるものは全部狩るつもりか？」,「那些家伙，只要是长着羽毛的东西全都要抓捕吗？」,
「動機は知らんが、とにかく捕まえたいらしい」,「虽然不知道他们的动机，但应该确实是想要抓到手没错」,
「連中、本気なのか？」,「那帮家伙，是认真的吗？」,
冗談のような話に不蝕金鎖を巻きこむはずがない。,他们是不会因为开玩笑般的话题和不蚀金锁扯上关系的。,
「で、協力ってのは？」,「那么，要咱们怎么帮忙？」,
「ははは、迷子になったら困るか」,「哈哈哈，他们要是迷路就麻烦了啊」,
牢獄民は、基本的に羽狩りに非協力的だ。,牢狱的民众，基本上都不会对羽狩进行协助。,
「上層のお偉いさんか」,「在上层是个很了不起的人物吧」,
「連中の勢力が伸びるのは困る」,「虽然让那些家伙的势力扩张会很困扰」,
「恩まで売れればなお良い」,「趁此机会卖个人情给他们也不错」,
「一通り遊び尽くした奴は下手物に走るってやつだな」,「对于他们来说，这里只是玩过一次就可以随手扔掉的玩具而已吧」,
不安なのだろう。,会感到不安也无可厚非。,
「縄張りで死ぬ奴はいくらでもいるが、理由も犯人も耳に入らないのは気に入らない」,「虽然因为暴力而死去的家伙数不胜数，但无论是理由还是犯人都一无所知，我不能满意这个结果」,
「受ける受けないの話はそれからだ」,「知道之后我再确认要不要接受这份工作」,
「面倒だから、お前に頼んでる」,「就因为棘手所以才会拜托给你的」,
「その上、全体を見る力が必要になる」,「而且，也有必要让他们看看这边的实力」,
「冗談に聞こえたか？」,「你当我是在开玩笑吗？」,
「適当なことを」,「真是随性而为啊」,
「悪いが、その判断もないわけじゃない」,「虽然很抱歉，但我也无法否认这个可能性」,
「カイムなら上手くやってくれると思ったから、あえて頼んでる」,「是你的话，肯定能够做得很好。正因为考虑到这点，我才会把这件事拜托给你」,
「だからこそ、新しい勢力もある程度制御下に置きたい」,「正因如此，我也希望能将新势力在某种程度上归于管辖之内」,
残念ながら本気のようだ。,虽然很不爽，但他似乎是认真的。,
押したり引いたりの呼吸も、憎めないところも、やはり組織の長にいる男だ。,不管是讨价还价的方式，还是无法让人生气这点，都不愧是伫立组织顶部的男人的作为。,
「わたしを買ったせいで、カイムさんが危ない仕事を」,「因为买下了我，所以凯伊姆先生要去做危险的工作吗？」,
「嬢ちゃん、自分じゃ払えない金を払ってもらった身だろう？」,「小姑娘，你这个身体可是用被别人用自己所支付不起的钱买下来的哦？」,
黒い化物か。,黑色的怪物吗。,
俺を襲い、姿も見せずに消え去った黒い影。,那个向我袭击，然后立刻消失得无影无踪的黑影。,
「客が来たら、誰か呼びにやろう」,「如果有客人来的话，就告诉这边一声吧」,
滲む視界。,模糊了视野的。,
抗え……ぬ……,无法……抵抗……,
「昨日の件、って言えばわかるって言ってたけど」,「他告诉我，只要对你说是昨天的事情，你就明白了」,
昨日の件か。,昨天的那件事吗。,
「あ、お帰りは？」,「对了，您什么时候回来？」,
腰にナイフを下げ、家を出る。,我将小刀挂在腰部，走出了家门。,
受付に挨拶し、奥の階段を上る。,和前台打过招呼后，走上了里面的台阶。,
言うと同時に扉を開けて中に入る。,说出这句话的同时，我推开门走了进去。,
部屋には、ジークの他に一人。,房间里除了吉克以外还有一个人。,
何故こいつが？,为什么会是这家伙？,
「昨日話した化物の件で、先方の代表を務めるそうだ」,「她就是我昨天所说的妖怪事件，作为那边的代表过来的」,
「すると、貴殿が不蝕金鎖の代表か？」,「也就是说，阁下就是不蚀金锁的代表吗？」,
「なら、貴族に近い人間が来るのが筋だろう？」,「那么，按道理来说对方至少应该是与贵族身份相近的人吧？」,
「その、黒羽というのは？」,「那个被称作黑羽的是什么？」,
「黒い翼の羽つきのようなものか？」,「是类似长着黑色翅膀的羽化病人一类的东西吗？」,
昨日、少し話しただけで石頭だとわかるような女だ。,昨天，和她稍微说了两句话就知道，这个女人相当的刻板。,
「組織の外にいるが組織の人間は動かせる」,「虽然身处组织之外，但却能命令组织的成员」,
「地理に明るいし、細かいしがらみに縛られずに動ける」,「他不仅通晓这里的地形，而且行动时也不会被琐事所束缚」,
「特別被災地区らしい話だが、そちらの立場も分からないではない」,「虽然是很像特别受灾地区的做法，但我也不是不能理解你们那边的立场」,
呆れは消え、真剣な目でこちらを見る。,短暂的发呆过后，她用认真的表情凝视着我。,
「な、カイム」,「是吧，凯伊姆」,
「互いに、率直な情報交換ができる関係を願いたい」,「我希望，我们彼此可以成为能够坦率地交换情报的关系」,
「ああ、そうだな」,「啊啊，我也这么想」,
「さて……」,「接下来……」,
初耳だ。,这句话我第一次听到。,
丸投げする気らしい。,这家伙只是想把麻烦事全扔给我吧。,
「では、健闘を祈る」,「那么，祝二位武运昌隆」,
「頼んだぞカイム」,「拜托你了哦，凯伊姆」,
「カイムでいい」,「叫我凯伊姆就好」,
「なら、フィオネ……話し合いは店でいいか？」,「那么，菲奥奈……谈话的地方就选那个店行吗？」,
フィオネを先導して歩く。,我走在前面，引导菲奥奈走在街道上。,
「念のために訊いておくが」,「为保险起见，有件事要问你」,
「何だ」,「什么事」,
「まさか。匿っていたら協力などしない」,「怎么会呢，如果藏着的话就不会来帮你们的忙了」,
「一緒に仕事をするのだから、念のため確認した」,「我们接下来要一起工作，我只是为了保险确认一下」,
「だが、正式名称ではない」,「但是，这并不是我们的正式名称」,
先が思いやられる。,之后不知道还要发生多少纠纷。,
それでもフィオネは憮然としている。,即便如此，菲奥奈的脸上还是露出了怃然的神情。,
「だが、侮辱と取れる場合は私も考えるぞ」,「但是，我也会对这是否是侮辱的行为做出自己的判断」,
「それにしても、隊長自ら化物退治とは、羽狩りは暇なのか？」,「话说回来，居然要你这个队长亲自来退治怪物，羽狩不是很闲吗？」,
が、すぐに前を見据えた。,但是，很快又冷峻地看向前方。,
「そちらも同様だろう？」,「你们那边也是一样的吧？」,
物騒な噂が広まれば、商店や歓楽街は悪影響を受ける。,如果骚动的传言流散开的话，商店和欢乐街也都会受负面的影响。,
「何だと？」,「你说什么？」,
瞳が怒気を帯びる。,菲奥奈的眼睛中透出怒意。,
「侮辱は許さない」,「我不能容忍它受到侮辱」,
「気を悪くしたのなら謝る」,「如果让你生气了我深感抱歉」,
「ここの席は話し声があまり漏れない」,「在这个座位谈话，声音基本上不会漏出去」,
メルトに二人分の飯を適当に頼む。,我随便地向梅尔特点了二人分的饭菜。,
賑やかな奴らだ。,这些家伙真够吵的。,
「カイム様、お食事ですか」,「凯伊姆大人，您是在用餐吗」,
「それはもう広くて。皆大喜びですわ」,「而且也比以前宽阔，正所谓皆大欢喜呢」,
眠いだの疲れただの言ってる割には元気そうだが。,嘴上说自己累得马上就要睡着了，实际上却相当的精神。,
「指名か？」,「是指名吗？」,
「あれは拉致」,「那个叫做拉客」,
「あっという間なんだから」,「所以再过不久肯定就会被指名的」,
あとの二人は口を尖らせた。,另外两个人则毫不客气地回应。,
「ではごゆっくり」,「那么，请两位慢用」,
「規則はわかるが、喧嘩を売るような言い方をするな」,「虽然我知道你们的规矩，但能不能麻烦你不要用那种挑衅般的口气来说话」,
「詭弁だ」,「这是诡辩」,
「ただの仕事だ、食い扶持は誰でも必要だろう？」,「这只是赖以为生的工作而已，无论什么人都必须要靠着工作来挣钱吃饭吧？」,
正面から俺の目を見据えた。,菲奥奈从正面紧盯着我的双眼。,
「一朝一夕に行かないのはもどかしいが……」,「虽然我也清楚，这不是一朝一夕就能办到的事情……」,
料理と酒を持ったメルトが現れる。,梅尔特端着饭菜和酒出现在我们面前。,
皿をテーブルに並べながら、俺達二人の顔を見回す。,梅尔特一边将盘子堆在桌上，一边来回看着我们的表情。,
「見解の擦り合わせをしていただけだ」,「只是因为不同的见解而发生了摩擦而已」,
「店では歓迎されないからな」,「因为店里往往都不会欢迎我们」,
「賢明だ」,「贤明的选择」,
「私は堅物らしいからな」,「也许是因为我太过顽固了吧」,
羽狩りは、荒っぽい奴らが多い。,在羽狩之中，有很多不学无术的家伙。,
「さて、今後の方針の話をするか」,「接下来，也该商讨关于今后行动的方针了」,
「なぜだ？　実在するとなれば、かなり危険な相手だぞ」,「为什么？如果那种东西真的存在，可是个非常危险的对手啊」,
「ただ、殺してしまえば訊問もできない」,「但是，如果杀掉它的话就不能进行审问了」,
「そちらは、なぜ協力を承諾した？」,「你们那边，为什么会答应提供帮助？」,
「縄張りの中で、犯人も動機もわからない殺人があるのは困る」,「在自己的地盘上，出现犯人和动机都不明的杀人案件，我们也很困扰」,
「悪評が立つと、商売をやっている人間には悪影響もあるしな」,「如果因此而出现负面的评价，进行经商的人们也会相应的受到坏影响」,
言葉が宙を滑る。,对话快速地进行着。,
「で、目標の黒羽については何がわかってるんだ？」,「那么，你们对目标长着黑色翅膀这件事有什么认知？」,
「それが人間かどうかは別問題だが……個人的には化物だろうと思う」,「那个是不是人类先姑且不提……以我个人而言，还是把它当成怪物来看待的」,
妙にこだわるな。,还真是拘泥这种微妙的细节啊。,
何か理由でもあるのだろうか？,难道是有什么要这样做的理由吗？,
「化物でも、化物のような人間でも仕事は一緒だ」,「不管对手怪物还是对付像个怪物的人类，对我来说都只是份工作」,
「情報収集に捜索、捕獲……それでいいな？」,「进行情报的收集，然后搜索，捕获……这样就可以了吧？」,
「黒い羽根の話はこちらにも入っている」,「关于黑色羽毛的说法，我们也收到了同样的情报」,
一つ息をつく。,菲奥奈叹了口气。,
「まとまった情報はない」,「几乎没有什么有用的情报」,
これは、ついぞ見たことのない程のものだ。,在她这种眼神的凝视下，即使是我，也没有不让内心产生任何动摇的信心。,
が、今回は嘘も何も無い。,不过，这次我可是完全没有说谎,
「つまり、互いに本格的な調査はまだ、ということだな」,「也就是说，我们彼此都还没有展开认真的调查，是这样没错吧」,
「防疫局も、過去の報告書すらまとめていない」,「防疫局也没有从过去的报告书中汇总出什么有用的情报」,
「同時期に大きな事件があれば、関連も考えられる」,「在同一时期内出现大量的报告，就应该可以判定那个时间点和黑羽有关」,
基本だろう、と口に出かかる。,这是基本的推断吧，我这样说道。,
「日記をつけるのも仕事とは優雅な話だ」,「用日记来记录工作么，还真是份优雅的工作啊」,
「毎日を有意義に生きるためには、なかなか効果的だ」,「这是为了能让我每天都有意义地生活下去，相当的有效果」,
「夜に書いたものは特に……」,「尤其是在晚上写下的内容……」,
面白い奴だ。,真是个有趣的家伙啊。,
「噂の出元、現場の目撃談……まずは手当たり次第だ」,「传言的出处，现场的目击证言……首先是对于线索的收集」,
「羽狩りの荒っぽい奴らには、捕り物の際には活躍してもらおう」,「至于羽狩里那些不学无术的家伙，就让他们在抓捕的时候活跃一下吧」,
「居場所を突きとめ、準備万端のうえ突入、となるとは限らない」,「不可能会百分之百地遇到在准备完全的情况下，向对方的住所突击的情况」,
「こんなものはどうだろう？」,「用这种东西来保持联络如何？」,
「人混みでも音が通るし、遠くまで聞こえる」,「即使在人多的地方也能出声，在很远的地方也能听到」,
実際に使用するのは５０程度だろう。,实际上会去使用的人数大概在５０个左右吧。,
「完成次第、届けさせよう」,「在完成之后，我会通知你的」,
備忘録か。,是备忘录吗。,
「……できれば荒事ではない時に」,「……可以的话，请挑没有争端的时候」,
「店が繁盛するのもわかる」,「我算是知道这家店为什么这么兴旺了」,
「不蝕金鎖の先代の頭に身請けされて、任された店がヴィノレタだ」,「店长梅尔特在被不蚀金锁的先代赎身之后，就被交付了菲诺列塔这家店。在先代死了以后，梅尔特也继续看守着那个店」,
……しかし、目立つ。,……但是，却非常的显眼。,
羽狩りの制服を着た女と歩く俺は、完全に狩られた羽つきか、その関係者かと思われている。,与穿着羽狩制服的女人走在一起的我，完全被当成了被抓捕的羽化病人，又或者是与之相关的人类。,
「情報収集には牢獄民の協力が必要だ」,「想要收集情报，就必须要得到牢狱民众的配合」,
「自己満足に巻きこむな」,「别把我卷入你的自我满足之中」,
「なら、先に警告しておく」,「那么，我把警告先说在前面」,
「今日の情報収集は、羽狩りの隊長が個人的な趣味を優先した結果、無駄に終わる」,「今天的情报收集，如果羽狩的队长将个人的兴趣当做优先事项来考虑，结果只能是无疾而终」,
「できることの定義は人によって違う」,「对于每个人来说，都有对于自己力所能及之事的定义」,
立派なことを言っているが、まるで話にならない。,虽然嘴上说着很了不起的话，但是却完全无法与她沟通。,
こんなのと組まされるとはな。,为什么，我非要和这种家伙组队不可啊。,
「あんたらに話すことは何もないよ」,「我什么话都不会和你们这些家伙说的」,
その全てが、居留守か門前払いだった。,而得到的所有反应都是假装不在的闭门羹。,
木の扉に対して慇懃に礼を言う。,菲奥奈对着木质的门扉诚恳地行礼说道。,
「断る」,「我拒绝」,
足は棒になったが、成果はない。,虽然脚已经磨破了皮，但是却没有任何成果。,
「俺一人でやった方が１００倍マシだ」,「我一个人干活的效率比这要高１００倍」,
「それでもマシなほうだが、スラムはわけが違う」,「在我们的街道或许还能强一点，但在贫民区就不行了」,
「……兄も防疫局の局員だった」,「……我的哥哥也是防疫局的队员」,
兄……か。,哥哥……吗。,
くだらない話だ。,真是个无谓的话题啊。,
一瞥もくれず立ち去る。,我一眼都不再看她，转身离去。,
それもそのはず。,那也是理所应当的。,
また、門前払いだ。,又吃到了，一个闭门羹。,
粘り強さと、仕事にかける熱意は認める。,她反复确认着着自己的耐性与对工作的热衷。,
「いい加減、考え直したらどうだ？　完全に時間の無駄だぞ」,「你差不多也该换个角度思考下了吧？你现在完全是在浪费时间」,
「一応俺も行く」,「我姑且也去一趟」,
数歩離れた位置で、周囲に気を配りながら俺も続く。,在离她几步远的位置，我一边注意周围的情况一边跟了上去。,
扉を叩くが、返事はない。,菲奥奈敲了敲门，但是却没有回应。,
「子供に呼ばれてきた。防疫局の者だ」,「我是被那个孩子叫来的。是防疫局的人」,
老人……のような。,听上去……是个老人啊。,
俺は背後も含めていつでも対応できる体勢に。,然后站在她的身后，摆出随时可以对周遭的来袭做出对应的架势。,
暗い室内。,阴暗的室内。,
カビ臭い、湿った空気。,发霉的气味，潮湿的空气。,
老婆以外に人の気配はない。,感不到有老妪之外的人的存在。,
婆さんとは言え、一応女性か。,虽然是个老婆婆，但姑且也是名女性吗。,
律儀なことだ。,真是个讲礼节的家伙。,
罠か？,这是圈套吗？,
家にも一人羽つきがいる……とは言えないが。,我家也有个羽化病人……不能这么告诉她就是了。,
「いえ、もし治ったら」,「不，如果治好的话您还是能回来的」,
「タダで死に場所を用意してもらえるなんて、夢のようだ」,「没想到临终之前还能有人为我准备死去的地方，好像做梦一样啊」,
羽つきと言えば、羽狩りから逃げ回る姿ばかりを見てきた。,我算是见识到了，就算是羽化病人，也不是每个人都会从羽狩那里逃开。,
「ああ、頼みごとばかりで申し訳ないが……」,「啊啊，因为我还有很多事情要做，所以很抱……」,
「調査とは関係ないが、仕方ないな」,「虽然和调查无关，不过也没办法了啊」,
「念のため聞いただけだ」,「我只是为保险起见问一句而已」,
言下に否定しかけて、止まる。,言下之意也就是否定，我停止了问话。,
「これか」,「是这个吗」,
「は？　そのような大切な物を？」,「哈？您要将这么重要的东西给我？」,
律儀な性格の分、年上には弱いのかもしれない。,以她那端正的性格，或许很不擅长应付年长者也说不定。,
「婆さんが死んだ後に化けて出るぞ」,「小心老婆婆死了以后变成鬼来找你哦」,
足が使えないのか。,脚已经走不动路了吗。,
「その度に、この仕事を続けていこうと思うよ」,「正是因为也有这样的人，我才多少能够拾起继续工作下去的动力」,
「まさか、知り合いか？」,「难道说，是你认识的人吗？」,
「さあな」,「谁知道呢」,
その意味で、羽狩りはいい仕事をした。,从这个意义上来说，羽狩也是份很好的工作。,
席に着くなり、メルトが目敏く訊いてきた。,刚在座位上坐下，梅尔特就很敏锐地注意到了我们的气氛。,
